Date,AAPL_moving_avg,GOOGL_moving_avg,META_moving_avg,AMZN_moving_avg
02/10/2022,173.71714285714285,141.8842857142857,243.28714285714287,155.2342857142857
02/11/2022,172.6885714285714,139.92428571428573,228.50857142857143,155.61714285714285
02/14/2022,172.1142857142857,138.84428571428572,225.64285714285714,157.9485714285714
02/15/2022,172.17142857142858,137.89000000000001,223.34428571428572,157.78714285714287
02/16/2022,172.29857142857142,137.68142857142857,222.14857142857142,157.80999999999997
02/17/2022,171.44857142857146,136.70142857142858,220.36714285714285,156.8442857142857
02/18/2022,170.16571428571427,135.10285714285715,216.6757142857143,155.61714285714285
02/22/2022,169.05142857142854,133.84428571428572,212.96285714285713,154.35999999999999
02/23/2022,167.82714285714286,132.88857142857142,209.94857142857146,153.15142857142857
02/24/2022,166.95000000000002,132.48285714285717,208.50571428571428,152.60714285714286
02/25/2022,165.81571428571428,132.1757142857143,207.00285714285715,152.21857142857144
02/28/2022,164.75428571428571,131.79285714285714,206.21571428571428,151.57
03/01/2022,163.94285714285712,132.01,205.61285714285714,151.06857142857143
03/02/2022,163.83714285714285,132.6057142857143,205.89142857142858,150.99
03/03/2022,164.10999999999999,133.19,206.01857142857145,150.6614285714286
03/04/2022,164.55285714285714,133.80714285714285,206.24857142857144,150.77714285714288
03/07/2022,164.0614285714286,132.90571428571428,203.37285714285716,148.79
03/08/2022,163.00285714285715,131.8542857142857,200.48857142857145,146.25
03/09/2022,162.69285714285712,131.61999999999998,198.69857142857146,144.20999999999998
03/10/2022,162.02428571428572,131.38714285714286,197.5157142857143,143.59285714285713
03/11/2022,160.3342857142857,130.71571428571428,194.58714285714285,142.66
03/14/2022,158.1042857142857,129.57999999999998,192.25285714285715,141.7957142857143
03/15/2022,156.95000000000002,129.19285714285715,191.1057142857143,142.04285714285714
03/16/2022,156.99142857142857,130.17857142857142,193.41428571428568,144.27857142857144
03/17/2022,157.44571428571427,131.14142857142858,195.92142857142858,147.3114285714286
03/18/2022,157.59285714285716,131.52857142857144,198.49142857142857,150.45000000000002
03/21/2022,158.57285714285715,132.05285714285714,200.81714285714287,152.54571428571427
03/22/2022,160.58571428571426,133.48142857142858,204.96571428571428,155.31285714285715
03/23/2022,163.3842857142857,135.24285714285716,208.79857142857142,158.39285714285714
03/24/2022,166.0957142857143,137.01,212.7328571428571,160.71857142857144
03/25/2022,168.25714285714284,138.20857142857145,215.3314285714286,162.3857142857143
03/28/2022,170.39714285714285,139.29714285714286,217.58142857142857,164.06428571428572
03/29/2022,172.53714285714287,140.20857142857145,219.49142857142857,165.21714285714285
03/30/2022,174.30714285714288,141.04285714285714,221.82857142857142,165.90428571428575
03/31/2022,175.13428571428568,140.92857142857142,222.6442857142857,165.6342857142857
04/01/2022,175.72000000000003,141.19571428571427,224.27142857142857,165.65571428571428
04/04/2022,176.3442857142857,141.3957142857143,226.31714285714287,166.32714285714286
04/05/2022,176.39285714285717,141.24142857142857,227.74857142857144,166.22428571428574
04/06/2022,175.8542857142857,140.54000000000002,227.70714285714286,164.76285714285717
04/07/2022,174.87999999999997,139.59428571428572,226.72000000000003,163.1142857142857
04/08/2022,173.78285714285715,138.35857142857142,225.93142857142857,161.42285714285714
04/11/2022,172.5171428571429,136.8942857142857,225.08857142857144,159.72571428571428
04/12/2022,171.56714285714284,135.11714285714285,223.5585714285714,157.90142857142857
04/13/2022,170.41857142857143,133.2485714285714,220.85857142857142,156.07142857142858
04/14/2022,169.02285714285716,131.26857142857142,217.7642857142857,154.30857142857144
04/18/2022,168.05714285714288,130.00142857142856,215.9742857142857,153.4557142857143
04/19/2022,167.38000000000002,129.16142857142856,215.1685714285714,153.50428571428571
04/20/2022,166.97142857142856,128.41142857142856,212.03857142857143,153.4385714285714
04/21/2022,167.06714285714287,127.83857142857141,207.9828571428571,153.03571428571428
04/22/2022,166.22857142857143,126.68571428571428,203.69285714285715,152.1157142857143
04/25/2022,165.1542857142857,125.71142857142857,199.69285714285715,150.76285714285717
04/26/2022,163.9414285714286,124.55714285714285,195.5171428571429,149.00285714285715
04/27/2022,162.72714285714284,122.64428571428572,190.4,146.91428571428574
04/28/2022,162.19,121.00285714285715,188.74571428571426,144.9828571428571
04/29/2022,160.82142857142858,119.01285714285713,188.75285714285715,140.73714285714283
05/02/2022,159.61285714285714,117.83714285714287,192.0471428571429,137.33714285714285
05/03/2022,159.28285714285715,117.50714285714287,196.03571428571428,134.46571428571428
05/04/2022,159.73142857142855,117.39142857142858,201.23857142857142,131.58857142857144
05/05/2022,159.72714285714284,117.08571428571429,205.14285714285714,128.3057142857143
05/06/2022,159.82857142857145,117.2942857142857,209.26000000000002,124.96285714285715
05/09/2022,158.17428571428573,116.43571428571428,207.90000000000003,119.84714285714287
05/10/2022,157.72571428571428,116.47571428571429,207.49714285714285,117.64428571428573
05/11/2022,156.0885714285714,116.05,204.29857142857142,114.91142857142857
05/12/2022,153.67142857142858,115.40857142857143,201.32857142857142,112.43714285714286
05/13/2022,150.97,114.52142857142857,197.7871428571429,110.59857142857143
05/16/2022,149.3657142857143,114.22571428571429,196.60999999999999,109.79857142857144
05/17/2022,148.21714285714285,114.32857142857142,196.44571428571427,109.88428571428572
05/18/2022,146.61142857142858,114.24142857142859,195.8785714285714,109.64428571428572
05/19/2022,144.16000000000003,113.66857142857144,194.97,109.42428571428572
05/20/2022,142.88714285714286,112.99857142857142,195.6557142857143,109.74142857142856
05/23/2022,142.96571428571428,112.80571428571429,196.3685714285714,109.83142857142857
05/24/2022,142.00142857142856,111.36571428571428,193.89142857142855,108.55142857142856
05/25/2022,141.28428571428572,110.13285714285713,191.57571428571427,107.97571428571429
05/26/2022,140.50428571428571,108.89285714285714,190.00571428571428,107.36285714285714
05/27/2022,141.7642857142857,108.95285714285714,190.41857142857143,108.51142857142858
05/31/2022,143.40571428571428,109.43571428571428,190.75428571428571,110.35285714285713
06/01/2022,144.99428571428572,110.14714285714285,190.0542857142857,112.36571428571429
06/02/2022,146.15142857142857,111.02285714285713,190.43,114.92999999999999
06/03/2022,146.8685714285714,112.24714285714286,191.7871428571429,117.53714285714287
06/06/2022,147.67142857142858,113.82000000000001,193.27571428571426,120.11
06/07/2022,148.37571428571428,115.15714285714286,193.85,121.81285714285715
06/08/2022,148.1357142857143,115.85285714285715,194.06571428571428,122.67428571428572
06/09/2022,147.25,116.00714285714285,192.68857142857146,122.09428571428573
06/10/2022,145.5957142857143,115.61714285714287,190.82142857142858,120.37571428571428
06/13/2022,142.8342857142857,114.01285714285714,185.87857142857143,117.25571428571428
06/14/2022,141.03142857142856,112.89571428571428,182.0142857142857,114.39285714285714
06/15/2022,139.50142857142856,111.88714285714286,178.45714285714283,111.94714285714285
06/16/2022,136.83714285714285,110.29857142857144,173.48857142857145,109.1842857142857
06/17/2022,134.4942857142857,108.86285714285714,168.78857142857143,107.04714285714284
06/21/2022,133.52714285714285,108.39142857142858,164.9385714285714,105.98
06/22/2022,133.27285714285713,108.43857142857142,162.12142857142857,105.88
06/23/2022,134.18571428571428,109.27428571428571,161.3342857142857,107.13285714285715
06/24/2022,135.45714285714286,110.88142857142857,162.25285714285715,109.1542857142857
06/27/2022,136.34714285714287,111.74857142857142,162.27285714285716,109.94714285714285
06/28/2022,137.40142857142857,112.60285714285715,162.24571428571429,110.4814285714286
06/29/2022,138.49714285714285,113.25428571428571,162.27428571428572,110.86714285714287
06/30/2022,138.6185714285714,112.88571428571429,162.8742857142857,110.5142857142857
07/01/2022,139.13,112.49285714285715,163.4714285714286,110.60142857142857
07/05/2022,139.6,112.63857142857144,164.82,110.75285714285714
07/06/2022,139.78,112.15285714285713,164.7642857142857,110.44857142857143
07/07/2022,140.45,112.57428571428571,165.15,110.89285714285714
07/08/2022,141.82142857142858,113.62285714285713,166.60714285714286,112.05571428571429
07/11/2022,142.62714285714284,114.19142857142857,166.4557142857143,112.46000000000001
07/12/2022,143.93285714285716,114.91428571428571,166.74428571428572,112.88999999999999
07/13/2022,144.87,115.28714285714285,167.23857142857145,113.01
07/14/2022,145.85714285714286,114.87428571428572,165.79,112.60000000000001
07/15/2022,146.89285714285714,114.47571428571428,165.06571428571428,112.48857142857142
07/18/2022,146.99571428571429,113.08285714285714,164.35714285714286,112.12142857142858
07/19/2022,147.5614285714286,112.29142857142858,165.05714285714288,112.50285714285714
07/20/2022,148.72857142857143,112.03714285714285,167.94428571428574,114.07714285714285
07/21/2022,150.0842857142857,112.08285714285715,170.78714285714287,116.27857142857144
07/22/2022,151.31285714285715,111.59,171.61285714285714,117.99571428571427
07/25/2022,151.9528571428571,111.18142857142857,172.84142857142857,119.49714285714285
07/26/2022,152.15714285714284,110.21571428571428,172.04857142857145,119.67714285714285
07/27/2022,153.54571428571427,110.79142857142858,172.3842857142857,120.70714285714287
07/28/2022,154.45285714285714,110.85000000000001,170.23285714285717,121.28857142857143
07/29/2022,155.8057142857143,111.19571428571429,166.8057142857143,123.02857142857144
08/01/2022,156.68571428571428,111.27,163.4857142857143,124.5657142857143
08/02/2022,157.53142857142856,112.30285714285715,162.1885714285714,126.24285714285715
08/03/2022,159.41428571428568,113.81285714285715,162.49571428571429,128.86857142857144
08/04/2022,161.4442857142857,115.69428571428571,164.12714285714287,132.8342857142857
08/05/2022,162.66714285714286,116.32428571428571,163.77428571428572,135.66714285714286
08/08/2022,163.74142857142857,116.7642857142857,165.1357142857143,138.1142857142857
08/09/2022,164.08571428571426,116.80857142857143,166.48285714285717,138.5257142857143
08/10/2022,165.19,117.5,169.11285714285714,139.56857142857143
08/11/2022,166.40142857142857,118.03,171.5842857142857,140.49428571428572
08/12/2022,167.25428571428571,118.5442857142857,173.25571428571428,141.07
08/15/2022,168.3085714285714,119.10000000000001,174.73000000000002,141.15714285714287
08/16/2022,169.4057142857143,119.7042857142857,176.49571428571429,141.7257142857143
08/17/2022,170.78857142857143,120.0257142857143,177.15285714285713,142.10999999999999
08/18/2022,172.10714285714286,120.53142857142858,178.02857142857144,142.74857142857144
08/19/2022,172.43285714285716,120.17571428571429,176.5457142857143,142.11142857142858
08/22/2022,172.3014285714286,119.51857142857143,174.48285714285717,141.0514285714286
08/23/2022,171.6057142857143,118.40142857142857,171.71285714285713,139.63285714285715
08/24/2022,170.7971428571429,117.20285714285714,169.1942857142857,138.29285714285714
08/25/2022,170.3685714285714,116.48142857142857,167.66714285714286,137.22142857142856
08/26/2022,168.80714285714288,115.16571428571429,165.79999999999998,135.6
08/29/2022,166.98285714285717,113.63,163.58714285714288,133.81285714285715
08/30/2022,165.18142857142857,112.44857142857143,162.0442857142857,132.45571428571427
08/31/2022,163.70285714285714,111.58857142857143,162.02714285714288,131.53428571428572
09/01/2022,162.3785714285714,111.0,162.6342857142857,130.70571428571427
09/02/2022,160.70428571428573,110.16571428571429,162.21428571428572,129.80714285714285
09/06/2022,158.49,108.76,160.75142857142856,128.21142857142857
09/07/2022,157.3957142857143,108.63285714285713,160.55285714285714,128.03
09/08/2022,156.40714285714284,108.48428571428572,160.96571428571428,128.03428571428572
09/09/2022,156.18714285714285,108.72857142857143,162.67857142857142,128.68285714285713
09/12/2022,157.0742857142857,109.10571428571428,163.54,130.06571428571428
09/13/2022,156.4857142857143,108.33142857142856,161.79285714285714,129.92285714285714
09/14/2022,156.41428571428574,107.92428571428572,160.52857142857144,130.07142857142858
09/15/2022,156.1057142857143,107.36714285714285,159.24428571428572,130.09571428571428
09/16/2022,155.3542857142857,106.41714285714286,157.23,129.24571428571429
09/19/2022,155.35714285714286,105.65857142857143,155.22428571428574,128.50857142857143
09/20/2022,155.29,104.29999999999998,151.93,126.92571428571429
09/21/2022,153.90285714285713,102.64571428571428,148.0957142857143,124.36714285714285
09/22/2022,153.74571428571429,102.04857142857144,146.62285714285716,123.00857142857144
09/23/2022,153.04857142857142,101.1542857142857,145.04285714285714,120.89857142857143
